accuracy,balanced_accuracy,precision,recall,f1,macro_f1,roc_auc,average_precision,dataset,model,rows,subjects,features,numeric_features,categorical_features,cv
0.8143459915611815,0.7639506172839506,0.8390804597701149,0.9012345679012346,0.8690476190476191,0.775103519668737,0.8865020576131687,0.9401092969123995,data/processed/features_scalar.csv,svc_rbf,237,79,145,144,1,StratifiedGroupKFold
0.8312236286919831,0.7762962962962963,0.8426966292134831,0.9259259259259259,0.8823529411764706,0.7919227392449517,0.8721810699588477,0.9248174750422737,data/processed/features_scalar.csv,gradient_boosting,237,79,145,144,1,StratifiedGroupKFold
0.8354430379746836,0.782962962962963,0.847457627118644,0.9259259259259259,0.8849557522123894,0.7980334316617503,0.8692181069958849,0.9244802463873378,data/processed/features_scalar.csv,xgboost,237,79,145,144,1,StratifiedGroupKFold
0.7763713080168776,0.7791358024691357,0.8865248226950354,0.7716049382716049,0.8250825082508251,0.7575704938914944,0.8621399176954733,0.9346147839813083,data/processed/features_scalar.csv,logistic_regression,237,79,145,144,1,StratifiedGroupKFold
0.8312236286919831,0.7941975308641975,0.8630952380952381,0.8950617283950617,0.8787878787878788,0.8005050505050505,0.8609876543209877,0.9187073359912606,data/processed/features_scalar.csv,lightgbm,237,79,145,144,1,StratifiedGroupKFold
0.7974683544303798,0.7337037037037037,0.8166666666666667,0.9074074074074074,0.8596491228070176,0.7480063795853269,0.851522633744856,0.9198195704402992,data/processed/features_scalar.csv,random_forest,237,79,145,144,1,StratifiedGroupKFold
0.7655677655677655,0.6685858585858586,0.8101851851851852,0.8838383838383839,0.8454106280193237,0.6802810715854194,0.8233670033670034,0.9290176270196313,data/processed/waveform_based/feature_table.csv,xgboost,273,91,307,306,1,StratifiedGroupKFold
0.7765567765567766,0.6803030303030303,0.815668202764977,0.8939393939393939,0.8530120481927711,0.6936815966154695,0.8148148148148148,0.9247885191392963,data/processed/waveform_based/feature_table.csv,gradient_boosting,273,91,307,306,1,StratifiedGroupKFold
0.7692307692307693,0.6918181818181819,0.8260869565217391,0.8636363636363636,0.8444444444444444,0.6988179669030733,0.8147474747474747,0.9277087028629261,data/processed/waveform_based/feature_table.csv,lightgbm,273,91,307,306,1,StratifiedGroupKFold
0.7765567765567766,0.6927272727272727,0.8246445497630331,0.8787878787878788,0.8508557457212714,0.7028001356343583,0.7963636363636364,0.9112681754649885,data/processed/waveform_based/feature_table.csv,random_forest,273,91,307,306,1,StratifiedGroupKFold
0.759493670886076,0.6808641975308642,0.7837837837837838,0.8950617283950617,0.8357348703170029,0.6934579863396038,0.7962139917695473,0.880258892018553,data/processed/analysis_data.csv,xgboost,237,79,33,32,1,StratifiedGroupKFold
0.7468354430379747,0.7074074074074074,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.7074074074074074,0.7885596707818929,0.8854549949287611,data/processed/analysis_data.csv,lightgbm,237,79,33,32,1,StratifiedGroupKFold
0.620253164556962,0.7007407407407408,0.9285714285714286,0.48148148148148145,0.6341463414634146,0.6197047496790757,0.7876543209876543,0.9021082546930661,data/processed/features_scalar.csv,linear_svm,237,79,145,144,1,StratifiedGroupKFold
0.7252747252747253,0.6987878787878787,0.847457627118644,0.7575757575757576,0.8,0.6807017543859649,0.7809427609427608,0.9126547844258135,data/processed/waveform_based/feature_table.csv,logistic_regression,273,91,307,306,1,StratifiedGroupKFold
0.7619047619047619,0.6702020202020202,0.812206572769953,0.8737373737373737,0.8418491484184915,0.680183833468505,0.7747474747474747,0.8953801647643074,data/processed/waveform_based/feature_table.csv,svc_rbf,273,91,307,306,1,StratifiedGroupKFold
0.7130801687763713,0.7006172839506173,0.8263888888888888,0.7345679012345679,0.7777777777777778,0.6865079365079365,0.7739094650205761,0.8599847382193345,data/processed/analysis_data.csv,logistic_regression,237,79,33,32,1,StratifiedGroupKFold
0.6336996336996337,0.7226262626262627,0.9454545454545454,0.5252525252525253,0.6753246753246753,0.6275783040488923,0.7667340067340067,0.9081852105696402,data/processed/waveform_based/feature_table.csv,linear_svm,273,91,307,306,1,StratifiedGroupKFold
0.7215189873417721,0.6423456790123457,0.7637362637362637,0.8580246913580247,0.8081395348837209,0.6502236135957067,0.7595884773662551,0.8698750232076226,data/processed/analysis_data.csv,gradient_boosting,237,79,33,32,1,StratifiedGroupKFold
0.7257383966244726,0.6418518518518519,0.7621621621621621,0.8703703703703703,0.8126801152737753,0.650434545825864,0.7588477366255143,0.8687087802543088,data/processed/analysis_data.csv,random_forest,237,79,33,32,1,StratifiedGroupKFold
